"dataset_code","time","geo","value","unit","obs_status","method"
"turnover_recorded_music",2017-01-01,"NO",82.8,"EUR","A","A"
"turnover_recorded_music",2017-01-01,"PL",201.1,"EUR","A","A"
"turnover_recorded_music",2017-01-01,"PT",66.3,"EUR","A","A"
"turnover_recorded_music",2017-01-01,"RO",41.4,"EUR","A","A"
"turnover_recorded_music",2017-01-01,"RS",4.7,"EUR","A","A"
"turnover_recorded_music",2017-01-01,"SE",362.7,"EUR","E","locf"
"turnover_recorded_music",2017-01-01,"SI",30.1,"EUR","A","A"
"turnover_recorded_music",2017-01-01,"SK",12.9,"EUR","A","A"
"turnover_recorded_music",2017-01-01,"UK",936,"EUR","A","A"
"turnover_recorded_music",2017-01-01,"EU27_2007",8394.4,"EUR","E","locf"
