"dataset_code","time","geo","value","unit","obs_status","method","freq","group"
"ind_cloud_storage_files",2020-01-01,"LU",45,"PC_IND","A","A","A","Benelux"
"ind_cloud_storage_files",2020-01-01,"LV",30,"PC_IND","A","A","A","Baltic"
"ind_cloud_storage_files",2020-01-01,"ME",30,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2020-01-01,"MK",33,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2020-01-01,"MT",47,"PC_IND","A","A","A","South"
"ind_cloud_storage_files",2020-01-01,"NL",48,"PC_IND","A","A","A","Benelux"
"ind_cloud_storage_files",2020-01-01,"NO",54,"PC_IND","A","A","A","Nordic"
"ind_cloud_storage_files",2020-01-01,"PL",24,"PC_IND","A","A","A","Visegrad"
"ind_cloud_storage_files",2020-01-01,"PT",30,"PC_IND","A","A","A","South"
"ind_cloud_storage_files",2020-01-01,"RO",27,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2020-01-01,"RS",13,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2020-01-01,"SE",64,"PC_IND","A","A","A","Nordic"
"ind_cloud_storage_files",2020-01-01,"SI",34,"PC_IND","A","A","A","Central"
"ind_cloud_storage_files",2020-01-01,"SK",33,"PC_IND","A","A","A","Visegrad"
"ind_cloud_storage_files",2020-01-01,"SK",33,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2020-01-01,"TR",17,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2020-01-01,"UK",53,"PC_IND","A","A","A","West"
"ind_cloud_storage_files",2020-01-01,"XK",37,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2020-01-01,"AL",14,"PC_IND","A","locf","A","Southeast"
"ind_cloud_storage_files",2020-01-01,"CH",46,"PC_IND","A","locf","A","Central"
"ind_cloud_storage_files",2020-01-01,"EU28",34,"PC_IND","A","locf","A","aggregate"
"ind_cloud_storage_files",2020-01-01,"FR",30,"PC_IND","A","locf","A","West"
"ind_cloud_storage_files",2020-01-01,"EU15",34,"PC_IND","A","locf","A","aggregate"
"ind_cloud_storage_files",2020-01-01,"EU27_2007",31,"PC_IND","A","locf","A","aggregate"
