"dataset_code","time","geo","value","unit","obs_status","method","freq"
"ind_never_use_internet",2013-01-01,"IT",34,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"LT",29,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"LU",5,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"LV",22,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"MK",33,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"MT",28,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"NL",5,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"NO",3,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"PL",32,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"PT",33,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"RO",42,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"RS",39.3333333333333,"PC_IND","A","approx","A"
"ind_never_use_internet",2013-01-01,"SE",4,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"SI",23,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"SK",15,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"TR",51,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"UK",8,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"ME",34.4,"PC_IND","A","approx","A"
"ind_never_use_internet",2013-01-01,"CH",8,"PC_IND","A","nocb","A"
"ind_never_use_internet",2013-01-01,"XK",13,"PC_IND","A","nocb","A"
"ind_never_use_internet",2013-01-01,"AL",33,"PC_IND","A","nocb","A"
"ind_never_use_internet",2013-01-01,"BA",24,"PC_IND","A","nocb","A"
"ind_never_use_internet",2014-01-01,"AT",15,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"BE",13,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"BG",37,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"CY",28,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"CZ",16,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"DE",11,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"DK",3,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"EA",18,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"EE",12,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"EL",33,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"ES",21,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"EU27_2007",18,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"EU27_2020",20,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"EU28",18,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"FI",6,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"FR",12,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"HR",28,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"HU",22,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"IE",16,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"IS",1,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"IT",32,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"LT",25,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"LU",4,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"LV",21,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"MK",29,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"MT",24,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"NL",5,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"NO",3,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"PL",28,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"PT",30,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"RO",39,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"RS",35.1666666666667,"PC_IND","A","approx","A"
"ind_never_use_internet",2014-01-01,"SE",6,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"SI",24,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"SK",15,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"TR",46,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"UK",6,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"ME",31.8,"PC_IND","A","approx","A"
"ind_never_use_internet",2014-01-01,"CH",8,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"XK",13,"PC_IND","A","nocb","A"
"ind_never_use_internet",2014-01-01,"AL",33,"PC_IND","A","nocb","A"
"ind_never_use_internet",2014-01-01,"BA",24,"PC_IND","A","nocb","A"
"ind_never_use_internet",2015-01-01,"AT",13,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"BE",13,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"BG",35,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"CY",26,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"CZ",13,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"DE",10,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"DK",3,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"EA",16,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"EE",9,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"EL",30,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"ES",19,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"EU27_2007",16,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"EU27_2020",18,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"EU28",16,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"FI",5,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"FR",11,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"HR",26,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"HU",21,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"IE",16,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"IS",1,"PC_IND","A","approx","A"
"ind_never_use_internet",2015-01-01,"IT",28,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"LT",25,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"LU",2,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"LV",18,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"MK",26,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"MT",21,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"NL",4,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"NO",1,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"PL",27,"PC_IND","A","A","A"
